time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-27 00:00:00+00:00,15.0,6.0,115,18
2021-09-28 00:00:00+00:00,5.0,5.0,54,13
2021-09-29 00:00:00+00:00,16.0,12.0,121,21
2021-09-30 00:00:00+00:00,4.0,4.0,120,22
2021-10-01 00:00:00+00:00,15.0,7.0,75,15
2021-10-02 00:00:00+00:00,14.0,4.0,34,9
2021-10-03 00:00:00+00:00,,,36,8
2021-10-04 00:00:00+00:00,,,67,15
2021-10-05 00:00:00+00:00,2.0,2.0,27,10
2021-10-06 00:00:00+00:00,1.0,1.0,39,14
2021-10-07 00:00:00+00:00,4.0,3.0,46,15
2021-10-08 00:00:00+00:00,19.0,1.0,22,9
2021-10-09 00:00:00+00:00,2.0,1.0,57,15
2021-10-10 00:00:00+00:00,1.0,1.0,30,5
